Algorithm,n,time_ms,comparisons,depth
MergeSort,10,1.0037,23,5
QuickSort,10,0.8455,20,5
DeterministicSelect,10,5.9663,1,2
MergeSort,50,0.0493,221,7
QuickSort,50,0.0236,230,10
DeterministicSelect,50,0.1947,5,4
MergeSort,100,0.1123,540,8
QuickSort,100,0.0683,627,14
DeterministicSelect,100,0.5093,7,5
MergeSort,500,0.2929,3844,10
QuickSort,500,0.3149,4892,20
DeterministicSelect,500,1.0716,23,7
MergeSort,6,0.1956,10,4
MergeSort,6,0.2446,10,4
MergeSort,6,0.3173,10,4
MergeSort,6,0.3761,10,4
MergeSort,6,0.254,10,4
